date,nav
2024-06-25,192593.5990133432
2024-06-26,192553.70314747732
2024-06-27,193262.14314747733
2024-06-28,193272.84314747734
2024-07-01,192694.96314747733
2024-07-02,192137.81314747734
2024-07-03,191751.07314747735
2024-07-05,191532.4731474773
2024-07-08,192235.48314747732
2024-07-09,192640.62314747734
2024-07-10,191967.76314747732
2024-07-11,192019.9731474773
2024-07-12,192153.35314747732
2024-07-15,192791.05314747733
2024-07-16,193231.36314747733
2024-07-17,191168.04314747732
2024-07-18,190276.31314747734
2024-07-19,187741.45822747733
2024-07-22,187731.20822747733
2024-07-23,188397.45822747733
2024-07-24,187495.45822747733
2024-07-25,186378.20822747733
2024-07-26,186586.7012905404
2024-07-29,186992.10346271255
2024-07-30,185903.51942867856
2024-07-31,187159.78125050035
2024-08-01,183663.03850050038
2024-08-02,179820.1590465464
2024-08-05,176902.4940465464
2024-08-06,177540.0671005464
2024-08-07,176971.0371005464
2024-08-08,178063.3371005464
2024-08-09,178097.8971005464
2024-08-12,177639.67710054643
2024-08-13,178217.2571005464
2024-08-14,178333.60710054642
2024-08-15,178785.5071005464
2024-08-16,179088.9771005464
2024-08-19,179499.5871005464
2024-08-20,179139.35710054642
2024-08-21,179795.8671005464
2024-08-22,179953.91710054642
2024-08-23,181086.1471005464
2024-08-26,180946.3171005464
2024-08-27,180644.45710054642
2024-08-28,180314.5171005464
2024-08-29,180420.92710054643
2024-08-30,181015.3171005464
2024-09-03,180242.8371005464
2024-09-04,179654.5271005464
2024-09-05,178934.99710054643
2024-09-06,178797.63710054642
2024-09-09,179566.5415405464
2024-09-10,179845.24154054638
2024-09-11,179806.7215405464
2024-09-12,180099.5715405464
2024-09-13,180311.7515405464
2024-09-16,180357.5858405464
2024-09-17,180357.5858405464
2024-09-18,180357.5858405464
2024-09-19,180357.5858405464
2024-09-20,180357.5858405464
2024-09-23,180357.5858405464
2024-09-24,180357.5858405464
2024-09-25,180357.5858405464
2024-09-26,179850.93743213802
2024-09-27,179489.177432138
2024-09-30,178913.097432138
2024-10-01,178605.78535213802
2024-10-02,178605.78535213802
2024-10-03,178605.78535213802
2024-10-04,178605.78535213802
2024-10-07,178605.78535213802
2024-10-08,178605.78535213802
2024-10-09,178605.78535213802
2024-10-10,178605.78535213802
2024-10-11,178605.78535213802
2024-10-14,178605.78535213802
2024-10-15,178605.78535213802
2024-10-16,178605.78535213802
2024-10-17,178605.78535213802
2024-10-18,179444.00447125713
2024-10-21,179366.1444712571
2024-10-22,179319.90447125712
2024-10-23,179322.9100468327
2024-10-24,179602.12391069654
2024-10-25,178745.83868547133
2024-10-28,179012.08868547133
2024-10-29,179862.54401079664
2024-10-30,179991.59052816327
2024-10-31,177957.30710686045
2024-11-01,177245.9631561716
2024-11-04,177786.71867597068
2024-11-05,180111.3936661316
2024-11-06,185424.65812652832
2024-11-07,185660.40205703466
2024-11-08,187969.04545752445
2024-11-11,189560.69832787145
2024-11-12,188996.64066794954
2024-11-13,188871.7424776324
2024-11-14,187984.32375679366
2024-11-15,185620.10450530724
2024-11-18,187521.68472304658
2024-11-19,188017.03440988538
2024-11-20,189129.22356569726
2024-11-21,190642.5721903558
2024-11-22,192149.45028373442
2024-11-25,192738.90784570674
2024-11-26,194110.50487614618
2024-11-27,193552.13137492625
2024-11-29,194301.5773419203
2024-12-02,194182.8304419203
2024-12-03,193421.00044192027
2024-12-04,194514.16044192028
2024-12-05,193614.7442519203
2024-12-06,193605.5078319203
2024-12-09,192212.59150192025
2024-12-10,191688.87150192028
2024-12-11,192144.54217192024
2024-12-12,192348.63160192023
2024-12-13,192348.63160192023
2024-12-16,192348.63160192023
2024-12-17,192348.63160192023
2024-12-18,192348.63160192023
2024-12-19,192348.63160192023
2024-12-20,192348.63160192023
2024-12-23,192348.63160192023
2024-12-24,192348.63160192023
2024-12-26,192348.63160192023
2024-12-27,192348.63160192023
2024-12-30,192348.63160192023
2024-12-31,192348.63160192023
2025-01-02,192348.63160192023
2025-01-03,192348.63160192023
2025-01-06,192348.63160192023
2025-01-07,192348.63160192023
2025-01-08,192348.63160192023
2025-01-09,192348.63160192023
2025-01-10,192348.63160192023
2025-01-13,192348.63160192023
2025-01-14,192348.63160192023
2025-01-15,192348.63160192023
2025-01-16,192348.63160192023
2025-01-17,192348.63160192023
2025-01-21,192348.63160192023
2025-01-22,192348.63160192023
2025-01-23,192348.63160192023
2025-01-24,192348.63160192023
2025-01-27,192348.63160192023
2025-01-28,192348.63160192023
2025-01-29,192348.63160192023
2025-01-30,192348.63160192023
2025-01-31,192348.63160192023
2025-02-03,192348.63160192023
2025-02-04,192348.63160192023
2025-02-05,192348.63160192023
2025-02-06,191847.42300332163
2025-02-07,191321.62300332164
2025-02-10,190472.61685032165
2025-02-11,190472.61685032165
2025-02-12,190472.61685032165
2025-02-13,191798.04386733868
2025-02-14,192092.18553901036
2025-02-18,189859.93553901036
2025-02-19,189617.87553901036
2025-02-20,188346.05540601036
2025-02-21,186510.12540601037
2025-02-24,186953.10540601035
2025-02-25,186653.92540601036
2025-02-26,186442.30359419854
2025-02-27,185384.39785919857
2025-02-28,186034.47785919855
2025-03-03,185509.83785919857
2025-03-04,185294.46785919857
2025-03-05,186182.95785919856
2025-03-06,184773.75785919855
2025-03-07,184616.18985036973
2025-03-10,183118.81985036973
2025-03-11,183668.17985036975
2025-03-12,184053.03985036974
2025-03-13,183318.89525036974
2025-03-14,183582.23525036973
2025-03-17,183516.71525036974
2025-03-18,183149.42525036974
2025-03-19,183584.12525036975
2025-03-20,183267.23525036973
2025-03-21,183337.79525036973
2025-03-24,183311.96525036974
2025-03-25,183123.59525036975
2025-03-26,182557.22525036975
2025-03-27,182406.2766918112
2025-03-28,181934.88340081117
2025-03-31,182140.4734008112
2025-04-01,182348.73340081118
2025-04-02,182419.9334008112
2025-04-03,182079.95340081118
2025-04-04,180787.67340081118
2025-04-07,180806.36340081118
2025-04-08,180768.0934008112
2025-04-09,182003.4134008112
2025-04-10,181891.2734008112
2025-04-11,182185.86340081118
2025-04-14,182504.48340081118
2025-04-15,182378.10340081117
2025-04-16,182068.38340081117
